year,age,sex,cause,deaths
2005,42,Female,Diabetes,111
2005,42,Female,Drug overdose,375
2005,42,Female,Heart disease,504
2005,42,Female,Homicide,89
2005,42,Female,Other causes,1135
2005,42,Female,Other unintentional injury,263
2005,42,Female,Stroke,151
2005,42,Female,Suicide,107
2005,42,Male,Alcohol-induced,319
2005,42,Male,Alzheimer disease,1
2005,42,Male,Cancer,903
2005,42,Male,Chronic lower respiratory disease,62
2005,42,Male,Diabetes,149
2005,42,Male,Drug overdose,598
2005,42,Male,Heart disease,1212
2005,42,Male,Homicide,224
2005,42,Male,Other causes,1897
2005,42,Male,Other unintentional injury,722
2005,42,Male,Stroke,155
2005,42,Male,Suicide,521
2005,43,Female,Alcohol-induced,174
2005,43,Female,Cancer,1297
2005,43,Female,Chronic lower respiratory disease,75
2005,43,Female,Diabetes,106
2005,43,Female,Drug overdose,413
2005,43,Female,Heart disease,588
2005,43,Female,Homicide,80
2005,43,Female,Other causes,1224
2005,43,Female,Other unintentional injury,255
2005,43,Female,Stroke,170
2005,43,Female,Suicide,120
2005,43,Male,Alcohol-induced,379
2005,43,Male,Alzheimer disease,1
2005,43,Male,Cancer,1016
2005,43,Male,Chronic lower respiratory disease,70
2005,43,Male,Diabetes,168
2005,43,Male,Drug overdose,626
2005,43,Male,Heart disease,1399
2005,43,Male,Homicide,215
2005,43,Male,Other causes,2018
2005,43,Male,Other unintentional injury,667
2005,43,Male,Stroke,179
2005,43,Male,Suicide,480
2005,44,Female,Alcohol-induced,169
2005,44,Female,Cancer,1465
2005,44,Female,Chronic lower respiratory disease,92
2005,44,Female,Diabetes,110
2005,44,Female,Drug overdose,419
2005,44,Female,Heart disease,627
2005,44,Female,Homicide,81
2005,44,Female,Other causes,1265
2005,44,Female,Other unintentional injury,243
2005,44,Female,Stroke,208
2005,44,Female,Suicide,117
2005,44,Male,Alcohol-induced,436
2005,44,Male,Cancer,1239
2005,44,Male,Chronic lower respiratory disease,85
2005,44,Male,Diabetes,210
2005,44,Male,Drug overdose,674
2005,44,Male,Heart disease,1590
2005,44,Male,Homicide,201
2005,44,Male,Other causes,2157
2005,44,Male,Other unintentional injury,667
2005,44,Male,Stroke,210
2005,44,Male,Suicide,542
2005,45,Female,Alcohol-induced,174
2005,45,Female,Alzheimer disease,1
2005,45,Female,Cancer,1688
2005,45,Female,Chronic lower respiratory disease,125
2005,45,Female,Diabetes,131
2005,45,Female,Drug overdose,416
2005,45,Female,Heart disease,672
2005,45,Female,Homicide,65
2005,45,Female,Other causes,1308
2005,45,Female,Other unintentional injury,278
2005,45,Female,Stroke,201
2005,45,Female,Suicide,115
2005,45,Male,Alcohol-induced,424
2005,45,Male,Alzheimer disease,2
2005,45,Male,Cancer,1369
2005,45,Male,Chronic lower respiratory disease,120
2005,45,Male,Diabetes,216
2005,45,Male,Drug overdose,663
2005,45,Male,Heart disease,1836
2005,45,Male,Homicide,243
2005,45,Male,Other causes,2320
2005,45,Male,Other unintentional injury,693
2005,45,Male,Stroke,242
2005,45,Male,Suicide,530
2005,46,Female,Alcohol-induced,196
2005,46,Female,Alzheimer disease,2
2005,46,Female,Cancer,1810
2005,46,Female,Chronic lower respiratory disease,131
2005,46,Female,Diabetes,135
2005,46,Female,Drug overdose,399
2005,46,Female,Heart disease,810
2005,46,Female,Homicide,71
2005,46,Female,Other causes,1469
2005,46,Female,Other unintentional injury,278
2005,46,Female,Stroke,246
2005,46,Female,Suicide,90
