year,state,population,sex,table,age_label,age,qx,lx,dx,Lx,Tx,ex,open_interval,mx
2019,SD,Total,Both,1,53–54,53,0.004682017490267754,91616.3984375,428.9495849609375,,,29.360017776489254,FALSE,0.004693003853329345
2019,SD,Total,Both,1,54–55,54,0.005375402048230171,91187.4453125,490.169189453125,,,28.495779037475582,FALSE,0.005389888456955798
2019,SD,Total,Both,1,55–56,55,0.00606892304494977,90697.2734375,550.43475341796875,,,27.64707946777344,FALSE,0.006087395010882398
2019,SD,Total,Both,1,56–57,56,0.00666519720107317,90146.8359375,600.846435546875,,,26.812841415405273,FALSE,0.0066874839005612915
2019,SD,Total,Both,1,57–58,57,0.007182535249739885,89545.9921875,643.167236328125,,,25.989395141601562,FALSE,0.007208422624537768
2019,SD,Total,Both,1,58–59,58,0.0076208338141441345,88902.828125,677.513671875,,,25.173799514770508,FALSE,0.007649983440384196
2019,SD,Total,Both,1,59–60,59,0.008025224320590496,88225.3125,708.02789306640625,,,24.363277435302734,FALSE,0.008057556168454298
2019,SD,Total,Both,1,60–61,60,0.00844784639775753,87517.28125,739.33251953125,,,23.55633544921875,FALSE,0.008483680813959496
2019,SD,Total,Both,1,61–62,61,0.008918384090065956,86777.9453125,773.9190673828125,,,22.752775192260746,FALSE,0.008958331008435544
2019,SD,Total,Both,1,62–63,62,0.009434752166271208,86004.0234375,811.4266357421875,,,21.953020095825195,FALSE,0.00947947039318481
2019,SD,Total,Both,1,63–64,63,0.010007948614656923,85192.59375,852.60308837890625,,,21.157350540161133,FALSE,0.010058279989299293
2019,SD,Total,Both,1,64–65,64,0.010639499872922896,84339.9921875,897.3353271484375,,,20.36617851257324,FALSE,0.010696402057086447
2019,SD,Total,Both,1,65–66,65,0.011329593136906624,83442.65625,945.371337890625,,,19.579816818237305,FALSE,0.01139413861422899
2019,SD,Total,Both,1,66–67,66,0.012199090793728828,82497.28125,1006.391845703125,,,18.7984619140625,FALSE,0.012273956347670577
2019,SD,Total,Both,1,67–68,67,0.013108999468386172,81490.890625,1068.2640380859375,,,18.024444580078125,FALSE,0.013195489299492241
2019,SD,Total,Both,1,68–69,68,0.01412864588201046,80422.625,1136.2628173828125,,,17.25722312927246,FALSE,0.0142291653008768
2019,SD,Total,Both,1,69–70,69,0.015315384604036808,79286.359375,1214.3011474609375,,,16.497373580932617,FALSE,0.015433570135254206
2019,SD,Total,Both,1,70–71,70,0.016720721498131752,78072.0546875,1305.421142578125,,,15.746191024780272,FALSE,0.01686169132040977
2019,SD,Total,Both,1,71–72,71,0.018435994163155556,76766.6328125,1415.2691650390625,,,15.005453109741213,FALSE,0.018607518211726657
2019,SD,Total,Both,1,72–73,72,0.020533479750156403,75351.3671875,1547.225830078125,,,14.277897834777832,FALSE,0.020746478447702884
