year,population,sex,age_min,age_max,centered_age,mortality_at_center,beta,beta_se,beta_ci_low,beta_ci_high,doubling_time,doubling_ci_low,doubling_ci_high,r_squared,rmse_log,n_ages,age_center
2022,American Indian or Alaska Native non-Hispanic,Both,55,69,62,0.022430357173575978,0.031209540227691773,0.001412365198382422,0.028158310721627534,0.03426076973375601,22.209464654174106,20.231512191537547,24.616078265929506,0.9740670758194789,0.022001488814942533,15,62
2022,American Indian or Alaska Native non-Hispanic,Male,55,69,62,0.02712851944097779,0.031593985923522416,0.0015218220952737144,0.02830628916818055,0.03488168267886428,21.939212805810676,19.87138025826779,24.487391351146112,0.9707209693966918,0.02370658229602675,15,62
2022,American Indian or Alaska Native non-Hispanic,Female,55,69,62,0.018197657921759147,0.03277777858912036,0.0012694154291389892,0.03003537328397822,0.035520183894262494,21.146862612282565,19.514177703114537,23.077694890167756,0.9808748235562617,0.01977465134209196,15,62
2022,Asian non-Hispanic,Both,55,69,62,0.00509629114746256,0.09285862435470439,8.331880809867926e-4,0.09105863093960215,0.09465861776980664,7.464542850777534,7.322599852932135,7.612097539877353,0.9989544840586322,0.012979205566357217,15,62
2022,Asian non-Hispanic,Male,55,69,62,0.006967119823488766,0.08740899955838136,4.494872364055817e-4,0.08643794142137065,0.08838005769539206,7.929929229964304,7.8428007248979705,8.019015367117174,0.9996563498717281,0.007002005158129869,15,62
2022,Asian non-Hispanic,Female,55,69,62,0.0035412688059689814,0.10333988564975566,0.002033047583495033,0.09894775337327556,0.10773201792623575,6.707450624719984,6.433994219198085,7.005183613872277,0.9949936318020766,0.03167033124275587,15,62
2022,Black non-Hispanic,Both,55,69,62,0.017202946844738862,0.07178115458707644,0.0010736178388848633,0.06946174425893026,0.07410056491522263,9.656394976471168,9.3541416499721,9.978833499719261,0.9971002488076145,0.016724563095155118,15,62
2022,Black non-Hispanic,Male,55,69,62,0.02202870060220041,0.07403236128100411,7.339600148185543e-4,0.07244673706989314,0.07561798549211508,9.362759319927287,9.166432774544383,9.567679768534365,0.9987238833168166,0.011433454375072382,15,62
2022,Black non-Hispanic,Female,55,69,62,0.013132160890483299,0.07202648979119924,0.0014775863841810595,0.06883435847959829,0.0752186211028002,9.623503555002335,9.21510086727901,10.069784855558524,0.9945587951606226,0.023017488919936248,15,62
2022,White non-Hispanic,Both,55,69,62,0.011608074659019427,0.07095989451570713,0.0010182646495852695,0.06876006748275904,0.07315972154865522,9.768154043781951,9.474437106748205,10.080664634800506,0.9973302061003742,0.015862284290323894,15,62
2022,White non-Hispanic,Male,55,69,62,0.014243582185259307,0.07122537413326309,0.0010371659149837505,0.06898471339898064,0.07346603486754553,9.73174502759456,9.43493386855088,10.047837360011235,0.9972509994554598,0.016156723702827985,15,62
2022,White non-Hispanic,Female,55,69,62,0.00905374644880973,0.07257143061412326,9.656296903207041e-4,0.07048531449740454,0.07465754673084198,9.551240408164844,9.284355177901894,9.833923356977698,0.9977036674960896,0.015042349425842242,15,62
2023,Total,Both,55,69,62,0.010506220080514241,0.0753088881034074,0.0010131224559219588,0.073120170104475,0.0774976061023398,9.204055431122258,8.944110862529183,9.479561926204056,0.9976527779263448,0.01578218042165227,15,62
2023,Total,Male,55,69,62,0.01308959633751567,0.07429846107647008,9.540410742958625e-4,0.0722373806425832,0.07635954151035695,9.329226615427991,9.077414123367031,9.595408559863285,0.9978611124178384,0.014861824724339239,15,62
2023,Total,Female,55,69,62,0.008068299087617366,0.07901430965486446,0.0010595705044403952,0.07672524674775896,0.08130337256196996,8.772425951547527,8.525441918557856,9.034147297547676,0.9976677371168079,0.01650573706346467,15,62
2023,Hispanic,Both,55,69,62,0.0078086221152659984,0.07500640395075943,0.0012750490995522199,0.0722518278406357,0.07776098006088315,9.241173340545508,8.913817444394914,9.593489898813425,0.9962574117779651,0.01986241131856669,15,62
2023,Hispanic,Male,55,69,62,0.010064518853547082,0.07414141748981859,9.067236511490387e-4,0.0721825601338027,0.07610027484583448,9.348987435465894,9.10834004166394,9.602695987439052,0.9980594364226919,0.014124725171540103,15,62
2023,Hispanic,Female,55,69,62,0.005642925019215398,0.08169211991205773,0.0017163381702427732,0.07798419672517454,0.08540004309894092,8.48487199629688,8.116473427968812,8.888303139194692,0.9942943684672181,0.0267367074029465,15,62
2023,American Indian or Alaska Native non-Hispanic,Both,55,69,62,0.019623683846723042,0.039798136474282104,6.412113242992662e-4,0.03841288362709697,0.041183389321467236,17.416573788771817,16.830746375666454,18.044653645085624,0.9966367654954988,0.009988637355085067,15,62
2023,American Indian or Alaska Native non-Hispanic,Male,55,69,62,0.024709539094033124,0.04405752919939733,0.0010826886374005272,0.04171852260244882,0.04639653579634584,15.73277469607685,14.939632208802475,16.614854441639753,0.9922104204189722,0.016865865834923516,15,62
2023,American Indian or Alaska Native non-Hispanic,Female,55,69,62,0.015117044800639827,0.03665780823829899,7.616259239559569e-4,0.03501241546423503,0.03830320101236295,18.90858220584409,18.096325169695902,19.79718255280019,0.9944196237174444,0.011864427321119845,15,62
2023,Asian non-Hispanic,Both,55,69,62,0.0046507836243485975,0.09007511821488287,0.001307432510337386,0.08725058199910951,0.09289965443065623,7.695212554774293,7.46124605961087,7.944327300498919,0.9972686058302886,0.02036687238217512,15,62
2023,Asian non-Hispanic,Male,55,69,62,0.0062301651989123295,0.08458329484474905,4.96863674933101e-4,0.08350988613488866,0.08565670355460944,8.194847242971594,8.092153349306015,8.300181123949145,0.9995516121112814,0.007740024038479534,15,62
2023,Asian non-Hispanic,Female,55,69,62,0.0033378523383890174,0.0996880962054979,0.0026477887082418756,0.09396789647127606,0.10540829593971975,6.953158972271732,6.575831383863164,7.376425423887459,0.9909122038520161,0.04124662213104258,15,62
2023,Black non-Hispanic,Both,55,69,62,0.015565020032670879,0.07310630752540676,9.814209935228016e-4,0.07098607637220553,0.07522653867860798,9.481359461617656,9.21413098004274,9.764551247001249,0.9976626268799442,0.01528834258764786,15,62
2023,Black non-Hispanic,Male,55,69,62,0.02002091291038697,0.07390318928309661,0.0010069534073961102,0.07172779870323964,0.07607857986295358,9.37912405789075,9.110937425600829,9.663578042143914,0.9975923748933778,0.015686080452398037,15,62
2023,Black non-Hispanic,Female,55,69,62,0.01180519857919244,0.07491265012166567,7.684192646569793e-4,0.07325258122727855,0.0765727190160528,9.252738748852224,9.05214271436062,9.462426701515659,0.9986340465878772,0.011970252365252067,15,62
2023,White non-Hispanic,Both,55,69,62,0.010634303805391656,0.07345222087554605,9.906302742896038e-4,0.07131209428082766,0.07559234747026444,9.436708275089202,9.169541676591095,9.719910592308866,0.9976409835816987,0.015431802570955663,15,62
2023,White non-Hispanic,Male,55,69,62,0.013082439051331798,0.07266881609487906,8.903827537924695e-4,0.07074526110133078,0.07459237108842734,9.538440527983104,9.292467452713591,9.797789558895367,0.998052157223624,0.013870170562839434,15,62
2023,White non-Hispanic,Female,55,69,62,0.008267806300333504,0.07659580521821976,0.0011384292097674131,0.07413637843583654,0.07905523200060299,9.049414371781642,8.767884971290178,9.34962288668915,0.9971364811494575,0.017734179200951727,15,62
2005,Total,Both,60,74,67,0.017115258610403153,0.08550324504741585,0.0010021766939785116,0.08333817392950718,0.08766831616532453,8.106676888994802,7.906473066652853,8.317283039417854,0.9982172443438619,0.015611669947983287,15,67
2005,Total,Male,60,74,67,0.02102325135144874,0.08423348563762635,0.001224536595461531,0.0815880351580996,0.0868789361171531,8.228879231495586,7.9783111020749775,8.495696448833202,0.9972601561474141,0.019075539555485264,15,67
2005,Total,Female,60,74,67,0.013700363704974338,0.08990520612304176,8.218594232218922e-4,0.0881296867850946,0.09168072546098892,7.709755757762497,7.560446070585321,7.865081629646475,0.9989148314227384,0.012802730432738642,15,67
2006,Total,Both,60,74,67,0.016596442277805483,0.08418632469174657,9.305847709897749e-4,0.08217591852031865,0.08619673086317449,8.23348902684547,8.04145555891466,8.434918563016234,0.998414074329552,0.014496428015740186,15,67
2006,Total,Male,60,74,67,0.020335450922968828,0.0823961671585851,9.093438739705385e-4,0.08043164915531269,0.0843606851618575,8.412371648621331,8.216471680262526,8.617841208520854,0.9984191214273422,0.01416554237885016,15,67
2006,Total,Female,60,74,67,0.013314241490393976,0.08907576324006178,0.0010614011427849132,0.08678274547925546,0.0913687810008681,7.781546352759206,7.586258380237772,7.987154321196662,0.9981576061719538,0.016534254311770736,15,67
2007,Total,Both,60,74,67,0.016124830452068206,0.08538471314560407,6.383755122582983e-4,0.08400558669786787,0.08676383959334028,8.117930657891202,7.988894726290434,8.251203375948066,0.9992738604852707,0.009944461750240025,15,67
2007,Total,Male,60,74,67,0.019791647108906296,0.0831130791367381,7.500602049219173e-4,0.08149267257956473,0.08473348569391147,8.339808701101973,8.180321804107622,8.505638097501299,0.9989423614143058,0.011684259303488409,15,67
2007,Total,Female,60,74,67,0.012890078332824783,0.09096087537895427,5.503494279104612e-4,0.08977191772479427,0.09214983303311426,7.6202782533942015,7.521958073552463,7.7212027784107775,0.9995243313828799,0.008573212364868429,15,67
2008,Total,Both,60,74,67,0.016062532063858218,0.08536856297470462,7.817671186950228e-4,0.08367965779482266,0.08705746815458658,8.119466421911428,7.9619496782187,8.28334148138487,0.9989109971790583,0.01217818205769836,15,67
2008,Total,Male,60,74,67,0.019679518753043353,0.0827974422084554,9.076068113906347e-4,0.08083667690073494,0.08475820751617587,8.371601369216693,8.177935811439383,8.57466198679975,0.9984403500780928,0.014138482831527426,15,67
2008,Total,Female,60,74,67,0.012858200274042001,0.09122341134419246,6.72489055788275e-4,0.08977058706625321,0.0926762356221317,7.598347511305529,7.47923322421198,7.7213172288645415,0.9992940166422103,0.010475874409849902,15,67
2009,Total,Both,60,74,67,0.015576884922678134,0.08395249539601694,8.035392654200091e-4,0.08221655435276642,0.08568843643926746,8.256421411778918,8.089156592922784,8.430749573691205,0.9988104753970186,0.012517343376028556,15,67
2009,Total,Male,60,74,67,0.019117061927221027,0.08092320648034648,8.693573401050079e-4,0.07904507413151776,0.0828013388291752,8.565493270812093,8.37120740269617,8.769011708517908,0.9985018933564321,0.013542641673991117,15,67
2009,Total,Female,60,74,67,0.01243017901077997,0.09033006603472674,7.574123620200154e-4,0.08869377610780124,0.09196635596165223,7.6734935662891015,7.536964722718502,7.815059984789373,0.9990868403483532,0.011798789456415404,15,67
2010,Total,Both,60,74,67,0.015451618247663211,0.0842124252220413,7.629644321208164e-4,0.08256414077689155,0.08586070966719105,8.230937165535101,8.072926292441414,8.395256997017604,0.998934051052336,0.011885278282649903,15,67
2010,Total,Male,60,74,67,0.018987056792502368,0.08098973246218745,9.382543134841008e-4,0.07896275725154539,0.08301670767282951,8.558457467229719,8.349490120611048,8.778153203944504,0.9982583234559653,0.01461590232280885,15,67
2010,Total,Female,60,74,67,0.012301435432852177,0.09087833588125513,5.507704915402083e-4,0.08968846857442705,0.0920682031880832,7.627199308156744,7.5286272193662445,7.728386843674828,0.9995227382522974,0.008579771593848914,15,67
2011,Total,Both,60,74,67,0.01525056737994267,0.08383662352020378,9.276422548556386e-4,0.0818325742684032,0.08584067277200437,8.267832737716397,8.074810671637755,8.470308880745794,0.9984109185358225,0.014450590199935083,15,67
2011,Total,Male,60,74,67,0.018729329312429127,0.08043413500310141,0.001139952494925896,0.07797141736320695,0.08289685264299587,8.617574870833367,8.361562091447036,8.889759914599509,0.9973956249475036,0.017757908574498108,15,67
2011,Total,Female,60,74,67,0.012144814916957356,0.09060374852702924,7.17209809873605e-4,0.08905431093367067,0.09215318612038781,7.650314604292151,7.5216843794681845,7.783420850633659,0.9991860647992977,0.011172523670204852,15,67
2012,Total,Both,60,74,67,0.015097220226648044,0.08154621669614244,0.0012742628791727402,0.07879333911188362,0.08429909428040126,8.500053204709063,8.222474825819042,8.797027621531587,0.9968357020781763,0.01985016376467269,15,67
2012,Total,Male,60,74,67,0.018607955049939548,0.07737434578157655,0.0015485109607288597,0.07402899123782884,0.08071970032532426,8.958359176524231,8.587088130485585,9.36318554352726,0.9948200867619145,0.024122335088199342,15,67
2012,Total,Female,60,74,67,0.011954583133136848,0.08933659408662309,9.623598149080775e-4,0.08725754210625634,0.09141564606698983,7.7588270254387774,7.582369215571737,7.943693620385014,0.9984937229163543,0.014991412085132097,15,67
2013,Total,Both,60,74,67,0.015116862949835485,0.08072110034910933,0.0013872976190141318,0.07772402605580574,0.08371817464241292,8.586939196345995,8.279530502433891,8.918055532304344,0.996174888691621,0.021610992031447167,15,67
2013,Total,Male,60,74,67,0.01866031770567186,0.07612183737381939,0.0017181117618583156,0.07241008257520062,0.07983359217243816,9.105759982592586,8.682399998521527,9.57252299553844,0.9934209834569956,0.02676433599088985,15,67
2013,Total,Female,60,74,67,0.011938377394529812,0.08901783200872476,0.0010120820415849012,0.08683136168831587,0.09120430232913365,7.786610445556672,7.599939507881431,7.982682375154045,0.9983223878055952,0.015765973094803733,15,67
2014,Total,Both,60,74,67,0.0150815383399771,0.07909125415630057,0.001767425881115207,0.07527296268011814,0.082909545632483,8.763891633203135,8.360281982879162,9.208448237988994,0.9935500168012551,0.02753253960033298,15,67
2014,Total,Male,60,74,67,0.018661902369241062,0.07464314948002503,0.0019722839557535336,0.07038228904037064,0.07890400991967941,9.28614595429733,8.784688905741756,9.848318234753098,0.9910054720201358,0.0307237699159538,15,67
2014,Total,Female,60,74,67,0.011873507664182327,0.08710725982738898,0.001557445802397584,0.0837426027317497,0.09047191692302826,7.957398521472033,7.661462298291538,8.27711532659528,0.9958613432588609,0.024261519924573715,15,67
2015,Total,Both,60,74,67,0.01517376405755969,0.07896444010255246,0.0017112431060329525,0.07526752413269083,0.0826613560724141,8.777966128294498,8.38538361205598,9.209113605729614,0.9939317950804143,0.02665733770568111,15,67
2015,Total,Male,60,74,67,0.018798459785875438,0.0740340874969604,0.001791490801845787,0.07016380692031136,0.07790436807360944,9.36254101312998,8.8974109886240509,9.878984778394196,0.9924453273072611,0.027907417206275636,15,67
2015,Total,Female,60,74,67,0.011922204336879249,0.08757744617528607,0.0016680399353264967,0.08397386498127848,0.09118102736929365,7.914676789873647,7.601879476007871,8.254320325907099,0.9953061589520849,0.025984328997907237,15,67
2016,Total,Both,60,74,67,0.015179963089424164,0.07745789205597593,0.0017498383107573533,0.07367759621553795,0.08123818789641392,8.948696668107539,8.532282643278196,9.407841951469187,0.9934092318014008,0.02725856461641698,15,67
2016,Total,Male,60,74,67,0.018813410827403877,0.07297000982659435,0.0016875247168092677,0.06932433432139336,0.07661568533179534,9.499069305419276,9.047066244440298,9.998612858602543,0.993095285147751,0.026287858285053204,15,67
2016,Total,Female,60,74,67,0.011924764660566519,0.08536621737727625,0.001859804778641037,0.08134835342636043,0.08938408132819206,8.119689519527137,7.754704979457278,8.520727849610479,0.9938675431252453,0.028971596073105777,15,67
