from_year,to_year,age,cause,years_contributed,age_band
2005,2023,53,COVID-19,-9.866057472578404e-4,50–59
2005,2023,53,Cancer,0.015361579605212228,50–59
2005,2023,53,Chronic lower respiratory disease,0.0012843789004648443,50–59
2005,2023,53,Diabetes,-0.0010542670645108387,50–59
2005,2023,53,Drug overdose,-0.00933819377579681,50–59
2005,2023,53,Heart disease,0.005724722506421642,50–59
2005,2023,53,Homicide,-2.7028203703594045e-4,50–59
2005,2023,53,Other causes,0.0029639500505069805,50–59
2005,2023,53,Other unintentional injury,4.932240410653321e-4,50–59
2005,2023,53,Stroke,8.12989682145826e-4,50–59
2005,2023,53,Suicide,-9.937902107566288e-4,50–59
2005,2023,54,Alcohol-induced,-0.0027291858287625814,50–59
2005,2023,54,Alzheimer disease,-4.406465074424659e-5,50–59
2005,2023,54,COVID-19,-0.001041382928143264,50–59
2005,2023,54,Cancer,0.015151308016079668,50–59
2005,2023,54,Chronic lower respiratory disease,7.668586529092636e-4,50–59
2005,2023,54,Diabetes,-7.848139958497313e-4,50–59
2005,2023,54,Drug overdose,-0.009926160876638335,50–59
2005,2023,54,Heart disease,0.007034035955030049,50–59
2005,2023,54,Homicide,-3.81763926093015e-4,50–59
2005,2023,54,Other causes,0.0011341827081920997,50–59
2005,2023,54,Other unintentional injury,4.0348914360777144e-4,50–59
2005,2023,54,Stroke,5.582108933239738e-4,50–59
2005,2023,54,Suicide,-8.380066402438047e-4,50–59
2005,2023,55,Alcohol-induced,-0.0026357964371470644,50–59
2005,2023,55,Alzheimer disease,-7.996511941144036e-5,50–59
2005,2023,55,COVID-19,-0.0012014419489361217,50–59
2005,2023,55,Cancer,0.01592112453504768,50–59
2005,2023,55,Chronic lower respiratory disease,9.007742813338382e-4,50–59
2005,2023,55,Diabetes,-5.076696170931427e-4,50–59
2005,2023,55,Drug overdose,-0.009942725085878124,50–59
2005,2023,55,Heart disease,0.005560480985764116,50–59
2005,2023,55,Homicide,-2.956188965299589e-4,50–59
2005,2023,55,Other causes,-3.0738269688157516e-4,50–59
2005,2023,55,Other unintentional injury,1.597734970104625e-4,50–59
2005,2023,55,Stroke,4.441409604822866e-4,50–59
2005,2023,55,Suicide,-0.0011629507859254318,50–59
2005,2023,56,Alcohol-induced,-0.003094254988212697,50–59
2005,2023,56,Alzheimer disease,-6.224895872719571e-5,50–59
2005,2023,56,COVID-19,-0.0013516387409211461,50–59
2005,2023,56,Cancer,0.01627654485550778,50–59
2005,2023,56,Chronic lower respiratory disease,0.0012878254199293337,50–59
2005,2023,56,Diabetes,-4.316380278552856e-4,50–59
2005,2023,56,Drug overdose,-0.010693890355483404,50–59
2005,2023,56,Heart disease,0.004465816590411009,50–59
2005,2023,56,Homicide,-3.9756243403132885e-4,50–59
2005,2023,56,Other causes,-8.105225354597678e-4,50–59
2005,2023,56,Other unintentional injury,-2.5471406863175616e-4,50–59
2005,2023,56,Stroke,6.201307439610559e-4,50–59
2005,2023,56,Suicide,-0.0010444139609688818,50–59
2005,2023,57,Alcohol-induced,-0.002915661035601147,50–59
2005,2023,57,Alzheimer disease,-2.3438354107696568e-4,50–59
2005,2023,57,COVID-19,-0.0013861494647855466,50–59
2005,2023,57,Cancer,0.01706471395110043,50–59
2005,2023,57,Chronic lower respiratory disease,0.0011886001356842257,50–59
2005,2023,57,Diabetes,-6.098466716935036e-4,50–59
2005,2023,57,Drug overdose,-0.010249574515427184,50–59
2005,2023,57,Heart disease,0.005114922726079385,50–59
2005,2023,57,Homicide,-3.0460627601769374e-4,50–59
2005,2023,57,Other causes,-0.003893469968915042,50–59
2005,2023,57,Other unintentional injury,-2.774087888397503e-4,50–59
2005,2023,57,Stroke,-1.4891150706120015e-4,50–59
2005,2023,57,Suicide,-0.0012659586114480703,50–59
2005,2023,58,Alcohol-induced,-0.0033201416769514935,50–59
2005,2023,58,Alzheimer disease,-2.3190136763417968e-4,50–59
2005,2023,58,COVID-19,-0.001545683474944326,50–59
2005,2023,58,Cancer,0.01768965520012955,50–59
2005,2023,58,Chronic lower respiratory disease,9.862380684637628e-4,50–59
2005,2023,58,Diabetes,-5.570874716340768e-4,50–59
2005,2023,58,Drug overdose,-0.010060852384391694,50–59
2005,2023,58,Heart disease,0.004526007131588017,50–59
2005,2023,58,Homicide,-5.066363368158022e-4,50–59
2005,2023,58,Other causes,-0.005055286187051422,50–59
2005,2023,58,Other unintentional injury,-5.098083776076123e-4,50–59
2005,2023,58,Stroke,2.361060738635956e-4,50–59
2005,2023,58,Suicide,-0.001113058132084177,50–59
2005,2023,59,Alcohol-induced,-0.004152910597696291,50–59
2005,2023,59,Alzheimer disease,-8.190418765963159e-5,50–59
2005,2023,59,COVID-19,-0.0017326270733164506,50–59
2005,2023,59,Cancer,0.018310375135691004,50–59
2005,2023,59,Chronic lower respiratory disease,9.438245022934666e-4,50–59
2005,2023,59,Diabetes,1.610698786720377e-4,50–59
2005,2023,59,Drug overdose,-0.009141029840648685,50–59
2005,2023,59,Heart disease,0.004890785132310782,50–59
2005,2023,59,Homicide,-5.862353635706086e-4,50–59
2005,2023,59,Other causes,-0.006274812022674325,50–59
2005,2023,59,Other unintentional injury,-6.691964995582111e-4,50–59
2005,2023,59,Stroke,3.854932274904854e-4,50–59
2005,2023,59,Suicide,-0.0012542135106770047,50–59
2005,2023,60,Alcohol-induced,-0.0040483822368670985,60–69
2005,2023,60,Alzheimer disease,-3.1509510826310816e-4,60–69
2005,2023,60,COVID-19,-0.0018022422295871365,60–69
2005,2023,60,Cancer,0.019640646561867925,60–69
2005,2023,60,Chronic lower respiratory disease,9.76669921044504e-4,60–69
2005,2023,60,Diabetes,7.087431291807889e-5,60–69
2005,2023,60,Drug overdose,-0.008449646297194136,60–69
2005,2023,60,Heart disease,0.006409490813261698,60–69
2005,2023,60,Homicide,-2.7148587072645114e-4,60–69
2005,2023,60,Other causes,-0.0072373198339974465,60–69
2005,2023,60,Other unintentional injury,-2.7144371080822793e-4,60–69
2005,2023,60,Stroke,6.348730572369732e-5,60–69
2005,2023,60,Suicide,-0.0011296225134032056,60–69
2005,2023,61,Alcohol-induced,-0.003116039553020755,60–69
2005,2023,61,Alzheimer disease,-2.812470902924247e-4,60–69
2005,2023,61,COVID-19,-0.001805840688270166,60–69
2005,2023,61,Cancer,0.0208636596852827,60–69
2005,2023,61,Chronic lower respiratory disease,0.0012749407045191674,60–69
2005,2023,61,Diabetes,4.0280885288979107e-4,60–69
2005,2023,61,Drug overdose,-0.007788100206049364,60–69
2005,2023,61,Heart disease,0.006427042870129185,60–69
2005,2023,61,Homicide,-1.9028775322738056e-4,60–69
2005,2023,61,Other causes,-0.00713838680933776,60–69
2005,2023,61,Other unintentional injury,-4.3718032918604877e-4,60–69
2005,2023,61,Stroke,4.969005565058637e-4,60–69
2005,2023,61,Suicide,-5.59742344478309e-4,60–69
2005,2023,62,Alcohol-induced,-0.00331529756558524,60–69
2005,2023,62,Alzheimer disease,-1.3979701068222994e-4,60–69
2005,2023,62,COVID-19,-0.002121420303105026,60–69
2005,2023,62,Cancer,0.02272127634065413,60–69
2005,2023,62,Chronic lower respiratory disease,0.0022306044863995567,60–69
2005,2023,62,Diabetes,3.831848332822574e-4,60–69
2005,2023,62,Drug overdose,-0.007378014144592271,60–69
2005,2023,62,Heart disease,0.0076222175686737614,60–69
2005,2023,62,Homicide,-2.74552028812991e-4,60–69
2005,2023,62,Other causes,-0.006436398698916435,60–69
2005,2023,62,Other unintentional injury,-2.923946979862535e-4,60–69
2005,2023,62,Stroke,5.407367149459219e-4,60–69
2005,2023,62,Suicide,-9.145912977857051e-4,60–69
