age,cause,mx_2005,mx_2023,from_year,to_year,change,age_band
34,Diabetes,2.4240588739500248e-5,3.4495019942290326e-5,2005,2023,1.0254431202790078e-5,30–39
34,Drug overdose,1.5896232231095358e-4,5.504389378521297e-4,2005,2023,3.9147661554117617e-4,30–39
34,Heart disease,1.309924122269148e-4,1.2591740408382052e-4,2005,2023,-5.075008143094273e-6,30–39
34,Homicide,8.717288642858743e-5,1.2845691475441858e-4,2005,2023,4.128402832583115e-5,30–39
34,Other causes,3.319095996639265e-4,3.5912913400040915e-4,2005,2023,2.721953433648265e-5,30–39
34,Other unintentional injury,1.8576681947482404e-4,2.0570036431844297e-4,2005,2023,1.9933544843618925e-5,30–39
34,Stroke,2.027818481092809e-5,2.2643970146166045e-5,2005,2023,2.3657853352379537e-6,30–39
34,Suicide,1.1374430100842424e-4,1.6781933014868854e-4,2005,2023,5.40750291402643e-5,30–39
35,Alcohol-induced,3.349962093130422e-5,1.1830365752169477e-4,2005,2023,8.480403659039056e-5,30–39
35,Cancer,1.6284537952717334e-4,1.3670169467696735e-4,2005,2023,-2.6143684850205988e-5,30–39
35,Chronic lower respiratory disease,8.840177745760837e-6,8.771157248443915e-6,2005,2023,-6.902049731692142e-8,30–39
35,Diabetes,2.3961534416141216e-5,3.166173836023657e-5,2005,2023,7.700203944095357e-6,30–39
35,Drug overdose,1.505156579344016e-4,5.836028530184146e-4,2005,2023,4.33087195084013e-4,30–39
35,Heart disease,1.5214411172967336e-4,1.4354747594404554e-4,2005,2023,-8.596635785627823e-6,30–39
35,Homicide,7.909632719891274e-5,1.1252752957759754e-4,2005,2023,3.34312023786848e-5,30–39
35,Other causes,3.4616274962347696e-4,3.6817467377004825e-4,2005,2023,2.2011924146571283e-5,30–39
35,Other unintentional injury,1.8564373266097755e-4,1.9189580614278515e-4,2005,2023,6.252073481807601e-6,30–39
35,Stroke,2.3496261903206435e-5,2.567167975154317e-5,2005,2023,2.1754178483367336e-6,30–39
35,Suicide,1.2166876213244521e-4,1.758510062980707e-4,2005,2023,5.418224416562548e-5,30–39
36,Alcohol-induced,3.697176069359606e-5,1.2551532553079766e-4,2005,2023,8.85435648372016e-5,30–39
36,Cancer,1.8221796341843775e-4,1.5778433652719064e-4,2005,2023,-2.4433626891247112e-5,30–39
36,Chronic lower respiratory disease,9.843131093749602e-6,1.0904700267746606e-5,2005,2023,1.0615691739970035e-6,30–39
36,Diabetes,3.313053880335232e-5,4.4286435781256616e-5,2005,2023,1.1155896977904296e-5,30–39
36,Drug overdose,1.5917063207697527e-4,5.955301615610186e-4,2005,2023,4.3635952948404335e-4,30–39
36,Heart disease,1.6277177759907877e-4,1.6045487536827147e-4,2005,2023,-2.3169022308073e-6,30–39
36,Homicide,7.346336865091166e-5,1.0904700267746604e-4,2005,2023,3.558363402655438e-5,30–39
36,Other causes,3.810011962385517e-4,3.841125033087885e-4,2005,2023,3.111307070236837e-6,30–39
36,Other unintentional injury,1.9518208729801042e-4,1.913886169441241e-4,2005,2023,-3.793470353886328e-6,30–39
36,Stroke,2.6168324127285525e-5,2.737302312107821e-5,2005,2023,1.2046989937926845e-6,30–39
36,Suicide,1.06593907454264e-4,1.7158212053944145e-4,2005,2023,6.498821308517745e-5,30–39
37,Alcohol-induced,4.6392005141721466e-5,0.00013471136319451107,2005,2023,8.83193580527896e-5,30–39
37,Cancer,1.8749100523597276e-4,1.8026280171060376e-4,2005,2023,-7.228203525368995e-6,30–39
37,Chronic lower respiratory disease,1.2259027265428988e-5,9.714761768834934e-6,2005,2023,-2.5442654965940544e-6,30–39
37,Diabetes,3.533484329447179e-5,3.864316348047673e-5,2005,2023,3.3083201860049436e-6,30–39
37,Drug overdose,1.7258787405054928e-4,6.036105312369438e-4,2005,2023,4.310226571863946e-4,30–39
37,Heart disease,1.9181772074141829e-4,1.8522812439245273e-4,2005,2023,-6.589596348965558e-6,30–39
37,Homicide,7.95634906834705e-5,1.0535119429314326e-4,2005,2023,2.5787703609672766e-5,30–39
37,Other causes,4.1752804627549317e-4,4.1536003651640907e-4,2005,2023,-2.168009759084095e-6,30–39
37,Other unintentional injury,1.8556802056688586e-4,1.8544400798731572e-4,2005,2023,-1.2401257957014465e-7,30–39
