year,population,sex,age_min,age_max,centered_age,mortality_at_center,beta,beta_se,beta_ci_low,beta_ci_high,doubling_time,doubling_ci_low,doubling_ci_high,r_squared,rmse_log,n_ages,beta_reference,beta_se_reference,beta_difference,beta_difference_se,beta_difference_low,beta_difference_high
2020,American Indian or Alaska Native non-Hispanic,Female,30,80,50,0.010946390658559174,0.051758968772932644,8.946421318916187e-4,0.04996111809859074,0.05355681944727455,13.391827484059664,12.942276776579922,13.873732353069517,0.9855718111843913,0.09218142931443266,51,,,,,,
2020,Asian non-Hispanic,Both,30,80,50,0.002182836447787523,0.08632805767028806,8.615720261023575e-4,0.08459666386162949,0.08805945147894663,8.029222471415675,7.871354737267059,8.19355219129789,0.9951430811432104,0.08877397787595859,51,,,,,,
2020,Asian non-Hispanic,Male,30,80,50,0.003036240676294093,0.08478646521008501,6.369028475499979e-4,0.08350656101919143,0.08606636940097859,8.175210263129335,8.053635646353454,8.300511625675096,0.9972426604480972,0.06562469252085651,51,,,,,,
2020,Asian non-Hispanic,Female,30,80,50,0.001396219684532077,0.09318647446909055,8.367495158436367e-4,0.0915049633623713,0.0948679855758098,7.43828097917642,7.306439325688491,7.57496812293115,0.9960647815873632,0.08621633567104373,51,,,,,,
2020,Black non-Hispanic,Both,30,80,50,0.00847681614809963,0.0681451315624079,6.607751137893997e-4,0.06681725425642546,0.06947300886839033,10.171631702334526,9.977215494913187,10.373775281154852,0.9954139636112862,0.06808442423309975,51,,,,,,
2020,Black non-Hispanic,Male,30,80,50,0.0111781408038696,0.06674410437286687,8.325756149373355e-4,0.06507098103405115,0.0684172277116826,10.385144681658605,10.131178998964128,10.652170438266893,0.9924330847797587,0.08578626856639472,51,,,,,,
2020,Black non-Hispanic,Female,30,80,50,0.006084943703845745,0.07300036293940934,3.8159223970786954e-4,0.07223352462381172,0.07376720125500696,9.495119649408604,9.396414243286717,9.595920788440246,0.998662899578975,0.03931819977804084,51,,,,,,
2020,White non-Hispanic,Both,30,80,50,0.005201688404846404,0.0703895472508928,0.0010968144415095928,0.06818541610950939,0.07259367839227622,9.847302726487612,9.54831324036742,10.165622212332242,0.9882426445738203,0.11301270005838929,51,,,,,,
2020,White non-Hispanic,Male,30,80,50,0.006617806293184531,0.06839329881102793,0.0011871998905167522,0.06600753130952292,0.07077906631253295,10.13472361488404,9.79310997829889,10.501031727874132,0.9854503871562862,0.12232576455836981,51,,,,,,
2020,White non-Hispanic,Female,30,80,50,0.0037947100444416086,0.07510442818971273,9.705804845804662e-4,0.07315397368225893,0.07705488269716654,9.22911201466131,8.99549978272089,9.475181533823434,0.9918831297209729,0.10000590531562492,51,,,,,,
2021,Total,Both,30,80,50,0.00589369530915604,0.06808836046009505,8.594705220975428e-4,0.06636118978184528,0.06981553113834481,10.180112663546689,9.928266236153403,10.445068613727184,0.9922529794101674,0.08855744476627352,51,0.08070412131482982,5.302040051289769e-4,-0.012615760854734773,0.0010098543783186916,-0.014595075436239408,-0.010636446273230137
2021,Total,Male,30,80,50,0.007532394782957661,0.06576368516076014,9.451606282265044e-4,0.06386431376716664,0.06766305655435365,10.539968659991276,10.244100929776074,10.853435035519007,0.9899801429606859,0.09738671423558798,51,0.07908750966430296,6.290242573874038e-4,-0.013323824503542817,0.0011353414154038842,-0.01554909367773443,-0.011098555329351204
2021,Total,Female,30,80,50,0.004263395639706123,0.07344853617159056,7.248913549660035e-4,0.07199181245504181,0.0749052598881393,9.437181687877537,9.25365163401162,9.628139046961888,0.9952498453387608,0.07469078284649469,51,0.0850919783187185,4.895819727167643e-4,-0.011643442147127939,8.747330932997146e-4,-0.013357919009995379,-0.009928965284260498
2021,Hispanic,Both,30,80,50,0.005200134742390465,0.06924138262870601,8.486553048872818e-4,0.06753594594314616,0.07094681931426586,10.010591271361776,9.769954273631102,10.263381535270979,0.992692947722681,0.08744307495822526,51,,,,,,
2021,Hispanic,Male,30,80,50,0.006981509952035271,0.06610665399603624,9.238773447060463e-4,0.06425005296197026,0.06796325503010223,10.485286104504796,10.198852015739051,10.788274073022485,0.9905202318876672,0.0951937440797203,51,,,,,,
2021,Hispanic,Female,30,80,50,0.0033369907457629117,0.07872567655205842,7.278410628253127e-4,0.07726302517563885,0.08018832792847799,8.804588425500445,8.643990945642125,8.971266384978357,0.9958291820587077,0.07499471251494907,51,,,,,,
2021,American Indian or Alaska Native non-Hispanic,Both,30,80,50,0.015931635881486605,0.04572328740398027,6.361874073874051e-4,0.04444482094392108,0.04700175386403945,15.159609466304603,14.74726203973135,15.595679447882896,0.9906029628395452,0.06555097556250432,51,,,,,,
2021,American Indian or Alaska Native non-Hispanic,Male,30,80,50,0.019519843762337178,0.04420998503877443,6.61682650458541e-4,0.042880283969574905,0.04553968610797395,15.678521038901497,15.220728112102115,16.164705929927095,0.98914289903282,0.06817793427955803,51,,,,,,
2021,American Indian or Alaska Native non-Hispanic,Female,30,80,50,0.012464765792894943,0.04898351236707406,7.373369729392955e-4,0.04750177824483542,0.0504652464893127,14.150622261744298,13.735139106211179,14.592025944529919,0.9890192250451217,0.07597314460052224,51,,,,,,
2021,Asian non-Hispanic,Both,30,80,50,0.002290828074992996,0.08371689130856844,0.0010347813037625794,0.08163742042468285,0.08579636219245403,8.279657423077314,8.078981006270556,8.490557111605822,0.9925693314006424,0.10662097861074399,51,,,,,,
2021,Asian non-Hispanic,Male,30,80,50,0.0031321464365796532,0.08154123168776607,8.066337720921195e-4,0.0799202404339376,0.08316222294159455,8.500572853916562,8.334880382487464,8.672986677672768,0.9952278195740953,0.08311329345458529,51,,,,,,
2021,Asian non-Hispanic,Female,30,80,50,0.0014944245213223254,0.09131987683551107,9.601028270618363e-4,0.08939047796914983,0.09324927570187232,7.590321018593455,7.433271468788769,7.754150065056842,0.9946129000843926,0.09892631671644699,51,,,,,,
2021,Black non-Hispanic,Both,30,80,50,0.009083400709013359,0.06337200433034355,5.479847214769966e-4,0.062270787803738216,0.06447322085694888,10.937750634282134,10.750931492904288,11.131177314547072,0.9963495213731528,0.05646281688233788,51,,,,,,
2021,Black non-Hispanic,Male,30,80,50,0.011743380590698509,0.061653593062263146,6.786040400332413e-4,0.06028988718759649,0.06301729893692981,11.242608031943007,10.999315937893089,11.496906245705288,0.9940987811646004,0.0699214670524715,51,,,,,,
